anyo;cod_proyecto;cod_gestor;cod_funcional;cod_economico;texto;importe;cod_gestor2;gestor;cod_funcion2;funcion;cod_proyecto2;proyecto;economico
2013;010001;00001;1000;912100;Retribuciones de altos cargos;75934;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones de altos cargos
2013;010001;00001;1100;912100;Retribuciones del personal eventual;109858;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal eventual
2013;010001;00001;1200;912100;Retribuciones del personal fijo;10;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010001;00001;1210;912100;Retribuciones del personal contratado para cubrir plazas reservadas;10;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010001;00001;1211;912100;Retribuciones del personal contratado para cubrir vacantes;10;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010001;00001;2200;912100;Material de oficina;1400;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Material ordinario no inventariable
2013;010001;00001;2202;912100;Prensa, revistas, libros y otras publicaciones;900;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Prensa, revistas, libros y otras publicaciones
2013;010001;00001;2261;912100;Gastos diversos del Sr. Consejero y Gabinete;4700;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Atenciones protocolarias y representativas
2013;010001;00001;2301;912100;Gastos de viaje del Sr. Consejero y Gabinete;4800;00;Dpto. Presidencia, AAPP e Interior;91;Alta dirección;01;Actividades generales del Gobierno;Locomoción y gastos de viaje
2013;010001;00100;1200;921100;Retribuciones del personal fijo;633403;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010001;00100;1210;921100;Retribuciones del personal contratado para cubrir plazas reservadas;10;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010001;00100;1211;921100;Retribuciones del personal contratado para cubrir vacantes;26903;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010001;00100;2190;921100;Reparación y mantenimiento de otros bienes muebles;3600;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Otro inmovilizado material
2013;010001;00100;2200;921100;Material de oficina;13000;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Material ordinario no inventariable
2013;010001;00100;2202;921100;Prensa, revistas, libros y otras publicaciones;700;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Prensa, revistas, libros y otras publicaciones
2013;010001;00100;2266;921100;Reuniones, conferencias y cursillos;1200;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Reuniones, conferencias y cursillos
2013;010001;00100;2269;921100;Otros gastos diversos;10000;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Otros gastos diversos
2013;010001;00100;2273;921100;Servicios informáticos;10855;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Servicios informáticos
2013;010001;00100;2276;921100;Estudios y trabajos técnicos;15000;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Estudios y trabajos técnicos
2013;010001;00100;2301;921100;Locomoción y gastos de viaje;5849;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Locomoción y gastos de viaje
2013;010001;00100;4809;921100;Indemnizaciones por responsabilidad patrimonial;10;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Transferencias corrientes a familias y otros particulares
2013;010001;00100;6020;921100;Obras en edificios institucionales;15000;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Edificios
2013;010001;00100;6031;921100;Instalaciones;10;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Instalaciones
2013;010001;00100;6050;921100;Mobiliario y equipo de oficina;7000;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Mobiliario y equipo de oficina
2013;010001;00100;6060;921100;Equipos para procesos de información;5000;00;Dpto. Presidencia, AAPP e Interior;92;Servicios de carácter general;01;Actividades generales del Gobierno;Equipos para proceso de información
2013;010001;01000;1000;921100;Retribuciones de altos cargos;59303;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones de altos cargos
2013;010001;01000;1200;921100;Retribuciones del personal fijo;138561;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010001;01000;1210;921100;Retribuciones del personal contratado para cubrir plazas reservadas;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010001;01000;1211;921100;Retribuciones del personal contratado para cubrir vacantes;53805;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010001;01000;2160;921100;Reparación y mantenimiento de equipos y programas;1000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Equipos informáticos y de telecomunicaciones
2013;010001;01000;2261;921100;Atenciones protocolarias;800;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Atenciones protocolarias y representativas
2013;010001;01000;2273;921100;Servicios informáticos;38659;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Servicios informáticos
2013;010001;01000;2273;921102;Asistencia técnica 2º nivel;13975;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Servicios informáticos
2013;010001;01000;2275;921100;Procesos electorales;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Procesos electorales y consultas populares
2013;010001;01000;4809;921100;Aplicación Ley Memoria Histórica;25000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Transferencias corrientes a familias y otros particulares
2013;010001;01000;6090;469100;Sistemas de información;2000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;46;Investigación, desarrollo e innovación;01;Actividades generales del Gobierno;Otro inmovilizado inmaterial
2013;010002;01300;1200;912300;Retribuciones del personal fijo;579311;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010002;01300;1210;912300;Retribuciones del personal contratado para cubrir plazas reservadas;41150;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010002;01300;1211;912300;Retribuciones del personal contratado para cubrir vacantes;46546;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010002;01300;2020;921B00;Arrendamiento de edificios y otras construcciones;6695;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Arrendamientos de edificios y otras construcciones
2013;010002;01300;2061;921B00;Licencias de bases de datos de jurisprudencia y legislación;30000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Arrendamientos de programas y licencias
2013;010002;01300;2061;921B02;Otras licencias;900;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Arrendamientos de programas y licencias
2013;010002;01300;2120;912300;Reparación, mantenimiento y conservación de edificios;49980;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Edificios y otras construcciones
2013;010002;01300;2160;921B00;Reparación y mantenimiento de equipos y programas informáticos;21000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Equipos informáticos y de telecomunicaciones
